name,games,seconds played,O Points,O Conversions,D Points,D Conversions,touches,throws,catches,goals,assists,pulls,pull	 hangtime,callies,bad callies,stalls,throwaways,drops,OB Pulls,penalties(turnover)
,1,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,33,0,0,0
Allan L,2,2321,5,3,26,11,21,26,19,1,5,22,7.52340909091,0,0,0,1,1,2,0
Sun,2,2138,2,1,19,8,16,16,16,0,2,2,6.9515,0,0,0,3,0,0,0
Vickroy,2,3350,6,4,29,13,26,20,22,4,3,1,5.387,0,0,0,1,1,0,0
Bradham,2,2457,1,0,27,13,4,1,1,3,0,0,0,0,0,0,0,0,0,0
Kyle S,2,2457,26,20,2,1,60,61,47,1,1,0,0,1,0,0,3,2,0,0
Leonard,2,2514,26,20,1,1,54,50,46,1,4,0,0,0,0,0,2,1,0,1
A Olsen,1,1737,1,1,18,7,8,6,7,1,1,0,0,0,0,0,1,1,0,0
Breault,1,573,0,0,12,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Dylan,2,1979,24,17,2,1,62,65,49,3,5,0,0,0,0,0,5,0,0,0
Erickson,2,2554,19,13,5,2,23,19,19,4,1,0,0,0,0,0,1,0,0,0
Hicks,1,489,3,1,4,1,8,8,7,0,0,0,0,0,0,0,0,0,0,0
Tree,2,3153,4,2,26,11,11,15,9,2,2,0,0,0,0,0,2,0,0,0
C Olsen,1,1484,5,3,9,4,16,15,16,0,2,0,0,0,0,0,1,0,0,1
Poole,2,2429,28,20,1,1,48,45,44,3,5,0,0,0,0,0,2,0,0,0
Boecking,1,967,6,5,6,2,23,23,23,0,0,0,0,0,0,0,1,1,0,0
A Taylor,1,836,13,9,0,0,25,23,24,1,2,0,0,0,0,0,1,1,0,0
Gainer,2,3237,28,21,6,2,40,35,35,5,3,0,0,0,0,0,0,1,0,0
Kelvin W,1,1292,1,1,16,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Archie,1,842,0,0,12,3,4,2,3,1,1,0,0,0,0,0,0,0,0,0
Trenton,2,3164,24,17,8,3,22,16,16,6,0,0,0,0,0,0,1,0,0,0
Berendes,1,1035,1,1,12,5,4,4,3,1,0,0,0,0,0,0,1,0,0,0
Runner,2,2838,6,4,26,11,25,44,22,1,3,19,6.49005882353,0,0,0,1,2,1,0
JP Burns,2,3951,6,3,28,13,20,20,18,1,2,0,0,1,0,0,1,2,0,0
Sears,2,2558,3,2,25,9,7,3,3,4,0,0,0,0,0,0,0,0,0,0
Wooten,1,367,0,0,9,2,2,1,2,0,0,0,0,0,0,0,1,1,0,0
